Timestamp,y,y1,y2,y3
2026-07-30 14:08:28,20.94,92.25,18.79,83.71
2026-07-30 14:09:28,89.61,8.25,21.43,16.33
2026-07-30 14:10:28,85.19,25.08,70.61,37.87
2026-07-30 14:11:28,61.23,63.97,56.36,40.53
2026-07-30 14:12:28,54.8,17.03,63.25,62.52
2026-07-30 14:13:28,64.73,10.47,84.27,62.72
2026-07-30 14:14:28,10.66,85.0,5.31,64.54
2026-07-30 14:15:28,65.95,92.62,79.19,30.32
2026-07-30 14:16:28,99.77,70.91,76.15,64.1
2026-07-30 14:17:28,38.22,45.4,8.15,51.23
2026-07-30 14:18:28,80.14,30.68,61.28,49.8
2026-07-30 14:19:28,33.6,96.65,32.72,68.81
2026-07-30 14:20:28,64.5,97.16,50.81,83.0
2026-07-30 14:21:28,5.48,96.01,95.3,49.7
2026-07-30 14:22:28,86.69,43.62,87.9,77.06
2026-07-30 14:23:28,75.56,1.62,18.05,21.97
2026-07-30 14:24:28,41.12,38.22,88.48,58.36
2026-07-30 14:25:28,65.25,11.76,81.92,23.14
2026-07-30 14:26:28,21.56,43.93,68.69,81.6
2026-07-30 14:27:28,42.55,14.98,66.42,98.71
2026-07-30 14:28:28,2.64,57.04,58.38,31.04
2026-07-30 14:29:28,50.38,27.8,72.33,40.81
2026-07-30 14:30:28,8.97,67.33,59.44,82.59
2026-07-30 14:31:28,44.48,11.71,61.77,43.58
2026-07-30 14:32:28,74.13,16.11,88.18,7.16
2026-07-30 14:33:28,19.0,96.28,99.76,96.13
2026-07-30 14:34:28,87.34,4.14,2.93,90.24
2026-07-30 14:35:28,54.03,69.19,16.15,93.62
2026-07-30 14:36:28,63.18,72.14,59.6,19.72
2026-07-30 14:37:28,93.93,38.32,11.11,46.33
2026-07-30 14:38:28,78.56,54.33,72.67,73.22
2026-07-30 14:39:28,34.41,79.26,4.9,52.84
2026-07-30 14:40:28,18.91,9.58,26.7,3.67
2026-07-30 14:41:28,72.24,52.68,56.86,0.15
2026-07-30 14:42:28,60.67,2.27,7.92,37.39
2026-07-30 14:43:28,93.14,86.29,98.72,62.15
2026-07-30 14:44:28,40.31,15.73,99.42,63.13
2026-07-30 14:45:28,94.27,0.24,54.03,59.82
2026-07-30 14:46:28,68.82,94.31,73.46,51.45
2026-07-30 14:47:28,61.38,91.95,30.09,41.33
2026-07-30 14:48:28,67.48,53.35,97.87,3.65
2026-07-30 14:49:28,69.73,47.47,24.68,58.35
2026-07-30 14:50:28,34.15,68.28,4.25,5.08
2026-07-30 14:51:28,10.42,63.51,71.74,70.03
2026-07-30 14:52:28,90.05,2.93,68.53,68.07
2026-07-30 14:53:28,78.73,44.57,96.39,51.86
2026-07-30 14:54:28,11.43,57.86,61.36,8.95
2026-07-30 14:55:28,70.98,20.54,91.35,21.89
2026-07-30 14:56:28,87.91,8.47,46.17,90.74
2026-07-30 14:57:28,19.07,37.16,23.34,95.07
2026-07-30 14:58:28,79.03,94.85,58.18,87.62
2026-07-30 14:59:28,30.42,70.7,65.79,91.65
2026-07-30 15:00:28,99.3,68.77,29.64,10.56
2026-07-30 15:01:28,2.31,66.24,48.94,57.98
2026-07-30 15:02:28,4.68,10.49,61.8,22.87
2026-07-30 15:03:28,39.34,54.52,62.85,79.54
2026-07-30 15:04:28,73.27,53.28,70.77,79.58
